Country,Code,Continent,1970,1980,1990,2000,2010,2020
South Sudan,SSD,Africa,0.0,0.0,0.0,0.0,14602072410.9506,0.0
Spain,ESP,Europe,40992995008.3195,232766822928.754,536558591250.408,596877648793.072,1420722034063.0,1281484640043.58
Sri Lanka,LKA,Asia,2296470588.23529,4024621899.57653,8032551173.24014,16330814179.9766,56725749221.9043,80676681933.978
Sudan,SDN,Africa,2437666666.66667,7459833333.33333,12408647540.9836,12257418326.0734,58962978034.4828,21329109521.8077
Suriname,SUR,South America,274900000.0,795000000.0,388400000.0,947671969.69697,4368398047.64333,2884248048.49068
Sweden,SWE,Europe,38092452060.6201,142092068280.689,261846194498.885,262835454366.855,495812558843.31,541220059459.25
Switzerland,CHE,Europe,0.0,122660905890.076,265987061618.198,279841151705.353,603434493402.679,752248045730.11
Syria,SYR,Asia,1780104712.04188,13062420382.1656,23904498886.4143,80590022271.7149,252518218262.806,0.0
Tajikistan,TJK,Asia,0.0,0.0,2629395852.11903,860521119.298753,5642178579.58438,8194150301.78552
Tanzania,TZA,Africa,0.0,0.0,4258743262.82876,13375976353.6994,32014249841.4151,62409709110.9538
Thailand,THA,Asia,7086538437.5,32353440726.8856,85343063965.9182,126392233706.79,341104820155.464,501643653514.925
Timor-Leste,TLS,Asia,0.0,0.0,0.0,367087900.0,881827800.0,1902156800.0
Togo,TGO,Africa,253976626.166639,1136408814.19692,1628427515.41881,1491891107.95711,3429461495.41335,7574636978.66173
Tonga,TON,Oceania,0.0,53260077.4311091,113563821.577404,204849612.592276,366840012.442325,488829964.070819
Trinidad and Tobago,TTO,North America,821850000.0,6235833333.33333,5068000000.0,8154338232.95978,22157948396.2042,21588037504.9992
Tunisia,TUN,Africa,1439238095.2381,8744134354.16152,12290568181.8182,21473261837.0176,46206331261.1019,41620349986.3089
Turkey,TUR,Asia,17086956521.7391,68789289565.7434,150676291094.21,274302959053.103,776992599946.766,719954821683.31
Turkmenistan,TKM,Asia,0.0,0.0,3189539641.31585,2904732773.48312,22583157894.7368,0.0
Turks and Caicos Islands,TCA,North America,0.0,0.0,0.0,0.0,686787810.0,924583000.0
Tuvalu,TUV,Oceania,0.0,0.0,8824447.74022325,13742057.0500928,31823518.6204366,48855550.2030142
Uganda,UGA,Africa,1260084033.61345,1244610000.0,4304398865.88268,6193246837.09687,26673441667.2778,37600368180.9399
Ukraine,UKR,Europe,0.0,0.0,81393535306.2736,32375280320.5765,141209864408.488,155498989149.587
United Arab Emirates,ARE,Asia,0.0,43598748449.0479,50701443748.2975,104337372362.151,289787338325.391,358868765174.924
United Kingdom,GBR,Europe,130671946244.3,564947710899.373,1093169389204.55,1662127402027.54,2491110093454.18,2759804061837.07
United States,USA,North America,1073303000000.0,2857307000000.0,5963144000000.0,10252345464000.0,14992052727000.0,20953030000000.0
Uruguay,URY,South America,2137096774.19355,10163020115.7344,9298839655.23138,22823255801.8447,40284481651.9021,53628827440.3582
Uzbekistan,UZB,Asia,0.0,0.0,13360607917.8773,13760513969.314,49765676402.4495,59929951114.3598
Vanuatu,VUT,Oceania,0.0,121185497.569261,168879207.244148,272014693.050806,670713208.084552,881547928.58381
Venezuela,VEN,South America,11561111111.1111,59116511627.907,48598315565.032,117140723529.412,393192354510.653,0.0
Vietnam,VNM,Asia,0.0,0.0,6471740805.56984,31172518403.3162,115931749697.241,271158442448.537
Yemen,YEM,Asia,0.0,0.0,5647119229.00763,9652436179.64605,30906749533.221,0.0
Zambia,ZMB,Africa,1825285714.28571,3829500000.0,3285217391.30435,3600683039.73254,20265559483.8548,18110631358.3114
Zimbabwe,ZWE,Africa,1884206300.0,6678868200.0,8783816700.0,6689957600.0,12041655200.0,18051170798.941
