Country,Code,Continent,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population
Nauru,NRU,Oceania,6663,7635,9598,10377,10241,12315
Nepal,NPL,Asia,12501285,15600442,19616530,24559500,27161567,29348627
Netherlands,NLD,Europe,13037686,14130387,14944548,15899135,16617116,17434557
New Caledonia,NCL,Oceania,110982,148599,177264,221537,261426,286403
New Zealand,NZL,Oceania,2824061,3147168,3397389,3855266,4346338,5061133
Nicaragua,NIC,North America,2444767,3303309,4227820,5123222,5855734,6755895
Niger,NER,Africa,4669708,6173177,8370647,11622665,16647543,24333639
Nigeria,NGA,Africa,55569264,72951439,95214257,122851984,160952853,208327405
North Korea,PRK,Asia,14996879,17973650,20799523,23367059,24686435,25867467
North Macedonia,MKD,Europe,1656783,1907023,2044174,2037936,2093828,2111072
Norway,NOR,Europe,3875546,4085776,4241636,4491202,4889741,5379839
Oman,OMN,Asia,670693,1017462,1804524,2344253,2881914,4543399
Pakistan,PAK,Asia,59290872,80624057,115414069,154369924,194454498,227196741
Palau,PLW,Oceania,11366,12252,15293,19726,18540,17972
Palestine,PSE,Asia,1118241,1453620,2124609,3139954,3992278,5019401
Panama,PAN,North America,1516188,1956987,2449968,3001731,3623617,4294396
Papua New Guinea,PNG,Oceania,2489059,3104788,3864972,5508297,7583269,9749640
Paraguay,PRY,South America,2408787,3078912,4059195,5123819,5768613,6618695
Peru,PER,South America,13562371,17492406,22109099,26654439,29229572,33304756
Philippines,PHL,Asia,37435586,48419546,61558898,77958223,94636700,112190977
Poland,POL,Europe,32482943,35521429,38064255,38504431,38597353,38428366
Portugal,PRT,Europe,8683631,9785252,10007346,10300626,10588401,10298192
Puerto Rico,PRI,North America,2737619,3214568,3543776,3827108,3717922,3271564
Qatar,QAT,Asia,118007,277450,441675,645937,1713504,2760385
Republic of the Congo,COG,Africa,1396989,1829256,2385435,3134030,4437884,5702174
Romania,ROU,Europe,19922618,22125224,22836234,21919876,20335211,19442038
Russia,RUS,Europe,130093010,138257420,148005704,146844839,143242599,145617329
Rwanda,RWA,Africa,3896367,5247532,7319962,8109989,10309031,13146362
Saint Kitts and Nevis,KNA,North America,44968,43097,40636,45461,47403,47642
Saint Lucia,LCA,North America,103090,121633,142301,159500,170935,179237
Saint Vincent and the Grenadines,VCT,North America,98459,107480,112487,113813,109308,104632
Samoa,WSM,Oceania,142771,164905,168186,184008,194672,214929
Sao Tome and Principe,STP,Africa,77583,97210,120343,143714,182138,218641
Saudi Arabia,SAU,Asia,6106191,10171710,16004763,21547390,29411929,35997107
Senegal,SEN,Africa,4367744,5703869,7536001,9704287,12530121,16436119
Serbia,SRB,Europe,7193533,7777010,7987529,7935022,7653748,7358005
Seychelles,SYC,Africa,54379,65290,71057,80060,92409,105530
Sierra Leone,SLE,Africa,2778557,3367477,4325388,4584067,6436698,8233969
Singapore,SGP,Asia,2061831,2400729,3022209,4053602,5163590,5909869
Sint Maarten,SXM,North America,6260,12243,27845,30489,33034,43621
Slovakia,SVK,Europe,4522867,4973883,5261305,5376690,5396424,5456681
Slovenia,SVN,Europe,1741286,1901570,1986024,1984339,2057286,2117641
Solomon Islands,SLB,Oceania,172833,233668,324171,429978,540394,691191
Somalia,SOM,Africa,3720977,5892224,6999096,8721465,12026649,16537016
South Africa,ZAF,Africa,22368306,29463549,39877570,46813266,51784921,58801927
South Korea,KOR,Asia,32601143,38170501,44120039,46788591,48813042,51844690
South Sudan,SSD,Africa,3342410,4192011,4750817,6114440,9714419,10606227
Spain,ESP,Europe,33792617,37491666,38889889,40741651,46572772,47363807
Sri Lanka,LKA,Asia,12388769,14943645,17204094,18776371,20668557,21715079
Sudan,SDN,Africa,11305206,16673586,21090886,26298773,33739933,44440486
Suriname,SUR,South America,379918,375112,412756,478998,546080,607065
Sweden,SWE,Europe,8027702,8311763,8548406,8871043,9381729,10368969
Switzerland,CHE,Europe,6181227,6319113,6711693,7182059,7822435,8638613
Syria,SYR,Asia,6319199,8898954,12408996,16307654,22337563,20772595
Tajikistan,TJK,Asia,2993019,4045965,5417860,6272998,7621779,9543207
Tanzania,TZA,Africa,13618192,19297659,26206012,34463704,45110527,61704518
Thailand,THA,Asia,35791728,45737753,55228410,63066603,68270489,71475664
Timor-Leste,TLS,Asia,554021,642224,758106,878360,1088486,1299995
Togo,TGO,Africa,2197383,2838110,3875947,5008035,6571855,8442580
Tonga,TON,Oceania,86484,96708,98727,102603,107383,105254
Trinidad and Tobago,TTO,North America,988890,1127852,1266518,1332203,1410296,1518147
Tunisia,TUN,Africa,5047404,6578156,8440023,9893316,10895063,12161723
Turkey,TUR,Asia,35540990,44089069,54324142,64113547,73195345,84135428
Turkmenistan,TKM,Asia,2201432,2862903,3720278,4569132,5267970,6250438
Turks and Caicos Islands,TCA,North America,5665,7598,11709,18744,29726,44276
Tuvalu,TUV,Oceania,5814,7731,9182,9638,10550,11069
Uganda,UGA,Africa,10317212,13284026,17586630,24020697,32341728,44404611
Ukraine,UKR,Europe,47279086,49973920,51589817,48879755,45683020,43909666
United Arab Emirates,ARE,Asia,298084,1014048,1900151,3275333,8481771,9287289
United Kingdom,GBR,Europe,55650166,56326328,57210442,58850043,62760039,67059474
United States,USA,North America,200328340,223140018,248083732,282398554,311182845,335942003
Uruguay,URY,South America,2790265,2953750,3117012,3292224,3352651,3429086
Uzbekistan,UZB,Asia,12011361,15947129,20579100,24925554,28614227,33526656
Vanuatu,VUT,Oceania,87019,118156,150882,192074,245453,311685
Venezuela,VEN,South America,11355475,15210443,19750579,24427729,28715022,28490453
Vietnam,VNM,Asia,41928849,52968270,66912613,79001142,87411012,96648685
Yemen,YEM,Asia,6843607,9204938,13375121,18628700,24743946,32284046
Zambia,ZMB,Africa,4281671,5720438,7686401,9891136,13792086,18927715
Zimbabwe,ZWE,Africa,5202918,7049926,10113893,11834676,12839771,15669666
